2022-04-15 11:22:45.468 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:45.472 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:45.605 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:45.609 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:45.748 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:45.752 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:45.935 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:45.938 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:46.071 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:46.075 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:46.217 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:46.221 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:46.377 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:46.381 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:46.514 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:46.517 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:46.686 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:46.690 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:46.820 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:46.824 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:46.957 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:46.961 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:47.092 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:47.095 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:47.225 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:47.229 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:47.381 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:47.385 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:47.527 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:47.531 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:47.667 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
2022-04-15 11:22:47.671 | ERROR    | monitor.cookieManager:refresh_cookie:36 - 微博 数据库中缺少Cookie信息
2022-04-15 11:22:47.809 | ERROR    | monitor.searchSpiders.weibo:get_request_from_keyword:62 - E 微博检索'bool' object is not subscriptable
