2022-04-23 09:48:38.562 | INFO     | monitor.projectManager:check_project_in_device:269 - {'180.201.163.246': ['default']}
2022-04-23 09:49:48.837 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['50斤巨蟒在工业园蒸汽管下安家', '杭州女孩跟刘畊宏跳操脚受伤', '18个关于春天的神仙文案', '清华大学的食堂有多实惠', 'RNG与TES谁能问鼎银龙', '中核集团推出核动力宠物狗', '唐山新增本土无症状140例', '陕西拐卖婴儿嫌犯落网主犯不满19岁', '#读书是我终身的爱好#', '日本电视台买入斛珠夫人版权', '长期保持阅读有多重要', '重庆一中院通报卖150碗熟肉被罚案', '上海22日新增本土死亡12例', '张碧晨舞台落泪让人心疼', '每天正确饮水量牢记53535法', '上海将严防大礼包腐败', '上海新增本土确诊2736例无症状20634例', '男子卖女友金器为游戏充值', 'YPL回应辛巴旗下主播卖假货', '羡慕按时发工资遭开除女子发声', '4月22日新增本土确诊2971例', '北京22日新增本土确诊6例', '终于知道家里的小飞虫是什么了', '肖飞 卧底', '张韶涵胡海泉我我舞台找寻自我', '今天是世界读书日', '环球影城通报一游客突发状况身亡', '边吃饭边喝水会影响消化吗', '郭麒麟MIC男团京剧版国色天香', '英国批准5月底前用卢布结算俄天然气', '巨好喝酸奶合集', '吉林新增本土无症状205例', '孕妇宫外孕出血民警紧急送医', '夫妻2人一狗一车戍守边疆', '我们为什么要读书', '蒲熠星上非正也不忘cue文韬', '华晨宇有机直播间', '辛巴售卖假货瑜伽裤一晚销售额超600万', '秦皇岛疫情', '刘惜君一开口港风就来了', '拱墅区启动二级响应', '保护我方郭艾伦', '赵立坚说中方在乌克兰问题上的立场光明磊落', '博鳌声音道出了中国主张中国方案', '祝卿好 破防', '北京新增病例初判未来传播风险较高', '烟台疫情', 'EDG银龙骑士团原画细节', '高职一男生宿舍5人全部考研上岸', '北京通报3个旅行团涉疫', '卖熟肉被罚当事人回应网友捐款', '杭州地铁', '读过的每一本书都不会辜负你']
2022-04-23 09:49:48.879 | INFO     | monitor.searchSpiders.weibo:get_request_from_keyword:41 - 18个关于春天的神仙文案检索结果为空,{"ok":-100,"url":"https://weibo.com/login.php?url=https%3A%2F%2Fweibo.com%2Fsearch%3Fcontainerid%3D100103type%253D1%2526q%253D%25E5%2585%25B1%25E5%2590%258C%25E6%259E%2584%25E5%25BB%25BA%25E5%259C%25B0%25E7%2590%2583%25E7%2594%259F%25E5%2591%25BD%25E5%2585%25B1%25E5%2590%258C%25E4%25BD%2593%2526t%253D0%26q%3D%25E5%2585%25B1%25E5%2590%258C%25E6%259E%2584%25E5%25BB%25BA%25E5%259C%25B0%25E7%2590%2583%25E7%2594%259F%25E5%2591%25BD%25E5%2585%25B1%25E5%2590%258C%25E4%25BD%2593"}
2022-04-23 09:50:38.816 | INFO     | monitor.searchSpiders.weibo:get_request_from_keyword:41 - 18个关于春天的神仙文案检索结果为空,{"ok":-100,"url":"https://weibo.com/login.php?url=https%3A%2F%2Fweibo.com%2Fsearch%3Fcontainerid%3D100103type%253D1%2526q%253D%25E5%2585%25B1%25E5%2590%258C%25E6%259E%2584%25E5%25BB%25BA%25E5%259C%25B0%25E7%2590%2583%25E7%2594%259F%25E5%2591%25BD%25E5%2585%25B1%25E5%2590%258C%25E4%25BD%2593%2526t%253D0%26q%3D%25E5%2585%25B1%25E5%2590%258C%25E6%259E%2584%25E5%25BB%25BA%25E5%259C%25B0%25E7%2590%2583%25E7%2594%259F%25E5%2591%25BD%25E5%2585%25B1%25E5%2590%258C%25E4%25BD%2593"}
2022-04-23 09:50:58.910 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['50斤巨蟒在工业园蒸汽管下安家', '杭州女孩跟刘畊宏跳操脚受伤', '18个关于春天的神仙文案', '清华大学的食堂有多实惠', '中核集团推出核动力宠物狗', '唐山新增本土无症状140例', '陕西拐卖婴儿嫌犯落网主犯不满19岁', '#读书是我终身的爱好#', '日本电视台买入斛珠夫人版权', '长期保持阅读有多重要', '重庆一中院通报卖150碗熟肉被罚案', '上海22日新增本土死亡12例', '张碧晨舞台落泪让人心疼', '每天正确饮水量牢记53535法', '上海将严防大礼包腐败', '上海新增本土确诊2736例无症状20634例', '男子卖女友金器为游戏充值', 'YPL回应辛巴旗下主播卖假货', '羡慕按时发工资遭开除女子发声', '4月22日新增本土确诊2971例', '北京22日新增本土确诊6例', '终于知道家里的小飞虫是什么了', '肖飞 卧底', '张韶涵胡海泉我我舞台找寻自我', '今天是世界读书日', '环球影城通报一游客突发状况身亡', '边吃饭边喝水会影响消化吗', '郭麒麟MIC男团京剧版国色天香', '英国批准5月底前用卢布结算俄天然气', '巨好喝酸奶合集', '吉林新增本土无症状205例', '孕妇宫外孕出血民警紧急送医', '夫妻2人一狗一车戍守边疆', '我们为什么要读书', '蒲熠星上非正也不忘cue文韬', '辛巴售卖假货瑜伽裤一晚销售额超600万', '秦皇岛疫情', '刘惜君一开口港风就来了', '拱墅区启动二级响应', '保护我方郭艾伦', '赵立坚说中方在乌克兰问题上的立场光明磊落', '博鳌声音道出了中国主张中国方案', '祝卿好 破防', 'EDG银龙骑士团原画细节', '烟台疫情', '北京新增病例初判未来传播风险较高', '高职一男生宿舍5人全部考研上岸', '北京通报3个旅行团涉疫', '卖熟肉被罚当事人回应网友捐款', '杭州地铁', '读过的每一本书都不会辜负你']
2022-04-23 09:51:38.889 | INFO     | monitor.searchSpiders.weibo:get_request_from_keyword:41 - 18个关于春天的神仙文案检索结果为空,{"ok":-100,"url":"https://weibo.com/login.php?url=https%3A%2F%2Fweibo.com%2Fsearch%3Fcontainerid%3D100103type%253D1%2526q%253D%25E5%2585%25B1%25E5%2590%258C%25E6%259E%2584%25E5%25BB%25BA%25E5%259C%25B0%25E7%2590%2583%25E7%2594%259F%25E5%2591%25BD%25E5%2585%25B1%25E5%2590%258C%25E4%25BD%2593%2526t%253D0%26q%3D%25E5%2585%25B1%25E5%2590%258C%25E6%259E%2584%25E5%25BB%25BA%25E5%259C%25B0%25E7%2590%2583%25E7%2594%259F%25E5%2591%25BD%25E5%2585%25B1%25E5%2590%258C%25E4%25BD%2593"}
2022-04-23 09:54:01.545 | INFO     | monitor.projectManager:check_project_in_device:269 - {'180.201.163.246': ['default']}
2022-04-23 09:55:03.446 | INFO     | monitor.searchSpiders.weibo:get_request_from_keyword:41 - 北京新增本土确诊4例检索结果为空,{"ok":-100,"url":"https://weibo.com/login.php?url=https%3A%2F%2Fweibo.com%2Fsearch%3Fcontainerid%3D100103type%253D1%2526q%253D%25E5%2585%25B1%25E5%2590%258C%25E6%259E%2584%25E5%25BB%25BA%25E5%259C%25B0%25E7%2590%2583%25E7%2594%259F%25E5%2591%25BD%25E5%2585%25B1%25E5%2590%258C%25E4%25BD%2593%2526t%253D0%26q%3D%25E5%2585%25B1%25E5%2590%258C%25E6%259E%2584%25E5%25BB%25BA%25E5%259C%25B0%25E7%2590%2583%25E7%2594%259F%25E5%2591%25BD%25E5%2585%25B1%25E5%2590%258C%25E4%25BD%2593"}
2022-04-23 09:55:11.879 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['18个关于春天的神仙文案', '上海新增本土确诊2736例无症状20634例', '保护我方郭艾伦', '肖飞 卧底', '英国批准5月底前用卢布结算俄天然气', '上海22日新增本土死亡12例', '男子卖女友金器为游戏充值', '50斤巨蟒在工业园蒸汽管下安家', '重庆一中院通报卖150碗熟肉被罚案', '拱墅区启动二级响应', '杭州女孩跟刘畊宏跳操脚受伤', 'EDG银龙骑士团原画细节', '清华大学的食堂有多实惠', '秦皇岛疫情', '卖熟肉被罚当事人回应网友捐款', '巨好喝酸奶合集', '中核集团推出核动力宠物狗', '郭麒麟MIC男团京剧版国色天香', '今天是世界读书日', '4月22日新增本土确诊2971例', '4月22日新增确诊病例2988例', '孕妇宫外孕出血民警紧急送医', '环球影城通报一游客突发状况身亡', '烟台疫情', '张碧晨舞台落泪让人心疼', '长期保持阅读有多重要', '赵立坚说中方在乌克兰问题上的立场光明磊落', '博鳌声音道出了中国主张中国方案', '我们为什么要读书', '唐山新增本土无症状140例', '每天正确饮水量牢记53535法', '终于知道家里的小飞虫是什么了', '上海将严防大礼包腐败', '夫妻2人一狗一车戍守边疆', '边吃饭边喝水会影响消化吗', '辛巴售卖假货瑜伽裤一晚销售额超600万', '吉林新增本土无症状205例', '日本电视台买入斛珠夫人版权', '#读书之美#', '杭州地铁', '北京通报3个旅行团涉疫', '读过的每一本书都不会辜负你', '羡慕按时发工资遭开除女子发声', '蒲熠星上非正也不忘cue文韬', 'YPL回应辛巴旗下主播卖假货', '北京新增病例初判未来传播风险较高', '陕西拐卖婴儿嫌犯落网主犯不满19岁', '高职一男生宿舍5人全部考研上岸', '北京22日新增本土确诊6例', '祝卿好 破防', '刘惜君一开口港风就来了']
2022-04-23 09:56:18.233 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：北京新增本土确诊4例 共检索到 8条 有效request
2022-04-23 09:56:18.234 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 北京新增本土确诊4例
