2022-05-05 15:36:13.942 | INFO     | monitor.projectManager:check_project_in_device:272 - {'180.201.163.246': ['None', 'default']}
2022-05-05 15:38:17.376 | INFO     | monitor.projectManager:check_project_in_device:272 - {'180.201.163.246': ['None', 'default']}
2022-05-05 15:42:33.289 | INFO     | monitor.timing:delete_job:164 - 删除任务:get_request_from_hot
2022-05-05 15:42:33.290 | INFO     | monitor.timing:add_job_to_scheduler:123 - 添加定时任务，get_request_from_hot
2022-05-05 15:42:40.421 | INFO     | monitor.timing:delete_job:164 - 删除任务:timing_save
2022-05-05 15:42:40.422 | INFO     | monitor.timing:add_job_to_scheduler:123 - 添加定时任务，timing_save
2022-05-05 15:42:50.425 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:43:00.424 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:43:10.424 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:43:12.813 | INFO     | monitor.spiderManager:stop:330 - 分布式设备180.201.163.246中爬虫百度停止成功
2022-05-05 15:43:12.814 | INFO     | monitor.spiderManager:del_spider:366 - 分布式设备180.201.163.246中爬虫百度删除成功
2022-05-05 15:43:20.424 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:43:30.424 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:43:40.424 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:45:59.825 | INFO     | monitor.projectManager:check_project_in_device:272 - {'180.201.163.246': ['None', 'default']}
2022-05-05 15:46:09.891 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:46:19.851 | INFO     | monitor.timing:delete_job:164 - 删除任务:hotsearch
2022-05-05 15:46:19.852 | INFO     | monitor.timing:add_job_to_scheduler:123 - 添加定时任务，hotsearch
2022-05-05 15:46:19.889 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:46:25.333 | INFO     | monitor.timing:delete_job:164 - 删除任务:hotsearch
2022-05-05 15:46:25.334 | INFO     | monitor.timing:add_job_to_scheduler:123 - 添加定时任务，hotsearch
2022-05-05 15:46:29.890 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:46:39.890 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:46:49.156 | INFO     | monitor.projectManager:check_project_in_device:272 - {'180.201.163.246': ['None', 'default']}
2022-05-05 15:46:59.263 | INFO     | monitor.projectManager:save_config:590 - 保存配置成功
2022-05-05 15:46:59.515 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['管控区居民突发状况民航总医院医生紧急处理', '原神', '阿尔茨海默症老人找去世儿子迷路', '徐明浩直播', '北京一核酸采样人员确诊', '魅族', '赵继伟', '小想法异构大世界', '后浪', '美国疫情或将再次迎来高峰', '第一次见女追男这么难', '高中生为小区制作古诗词两米线', 'lululemon致歉', 'lululemon因以次充好被罚', '黄大宪确定弃权', '不想上班', '全球首批生命全景地图发布', '67岁偏瘫奶奶捡废品救病孙', '米哈游', '谷爱凌Tiffany爱的颜色', '男孩无聊7楼扔鸡蛋砸肿6岁娃胳膊', '延时镜头记录蜻蜓羽化过程', '马思唯 歌词', '基金', '主人叫专车接狗疑被放后备箱憋闷致死', '蓝翔', '给那些暂时没有爱情的人', '北京临管区三胎孕妇5小时办好就医出入证', '#我们的青年英雄#', '美国新冠累计死亡超100万例', '2022五一档总票房2.95亿', '消防员抓眼镜蛇抓了个寂寞', '渡边裕之自缢身亡', '男团主舞的Dance实力', '电视剧后浪首发人物照', '街道办回应女子被天降物块砸中后身亡', '黄大宪这一天白忙了', '上海1800多家重点企业复工率超70%', '韩国正式加入北约网络防御中心', '俄宣布永久禁止日首相等63人入境俄罗斯', '已经开始期待端午了', '奥密克戎新变种或能逃避免疫保护', '狗走失被送派出所向民警展示绝活', '女朋友是台湾人是什么体验', '上海交大安保员考上本校研究生', '立夏要称体重', '孔素英实名举报前夫山东蓝翔校长', '土坑酸菜厂家锦瑞食品被停产', '江疏影彭昱畅新剧演情侣', '江苏睢宁通报一名婴儿在医院死亡事件', '教育部要求9月起中小学生要学煮饭', '致敬每一位勇敢的攀登者', '宋威龙涉合同纠纷起诉于正公司']
2022-05-05 15:47:01.816 | INFO     | monitor.timing:delete_job:164 - 删除任务:get_request_from_hot
2022-05-05 15:47:01.817 | INFO     | monitor.timing:add_job_to_scheduler:123 - 添加定时任务，get_request_from_hot
2022-05-05 15:47:03.985 | INFO     | monitor.timing:delete_job:164 - 删除任务:hotsearch
2022-05-05 15:47:03.987 | INFO     | monitor.timing:add_job_to_scheduler:123 - 添加定时任务，hotsearch
