2022-05-05 19:13:25.175 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：“我们都在与时间赛跑” 共检索到 37条 有效request
2022-05-05 19:13:25.176 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 “我们都在与时间赛跑”
2022-05-05 19:13:25.859 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：美联储货币政策“急转弯”冲击全球金融稳定 共检索到 46条 有效request
2022-05-05 19:13:25.860 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 美联储货币政策“急转弯”冲击全球金融稳定
2022-05-05 19:13:28.959 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 19:13:32.789 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：研究表明新西兰海平面正加速上升 共检索到 90条 有效request
2022-05-05 19:13:32.790 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 研究表明新西兰海平面正加速上升
2022-05-05 19:13:33.636 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：为构建人类命运共同体汇聚起“蓝色力量” 共检索到 20条 有效request
2022-05-05 19:13:33.636 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 为构建人类命运共同体汇聚起“蓝色力量”
2022-05-05 19:13:34.713 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：上海青浦推进老年人新冠疫苗接种（抓细抓实各项防疫工作） 共检索到 82条 有效request
2022-05-05 19:13:34.714 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 上海青浦推进老年人新冠疫苗接种（抓细抓实各项防疫工作）
2022-05-05 19:13:36.408 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：俄罗斯库尔斯克州一边防检查站遭炮击 共检索到 72条 有效request
2022-05-05 19:13:36.409 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 俄罗斯库尔斯克州一边防检查站遭炮击
2022-05-05 19:13:38.333 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：美国第一季度经济萎缩1.4% 共检索到 90条 有效request
2022-05-05 19:13:38.334 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 美国第一季度经济萎缩1.4%
2022-05-05 19:13:38.958 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 19:13:39.076 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：“教练妈妈”和她的二十六个特殊孩子（我们的新时代） 共检索到 20条 有效request
2022-05-05 19:13:39.077 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 “教练妈妈”和她的二十六个特殊孩子（我们的新时代）
2022-05-05 19:13:40.441 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：最新动态：俄否认5月9日对乌克兰宣战 乌称冲突不会在短… 共检索到 60条 有效request
2022-05-05 19:13:40.441 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 最新动态：俄否认5月9日对乌克兰宣战 乌称冲突不会在短…
2022-05-05 19:13:40.873 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：最高检公安部联合发布依法惩治妨害疫情防控秩序违法犯罪典型案例 共检索到 85条 有效request
2022-05-05 19:13:40.874 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 最高检公安部联合发布依法惩治妨害疫情防控秩序违法犯罪典型案例
2022-05-05 19:13:41.948 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：第十五届“全美十大华人杰出青年”评选结果公布 共检索到 20条 有效request
2022-05-05 19:13:41.949 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 第十五届“全美十大华人杰出青年”评选结果公布
2022-05-05 19:13:44.501 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：公安模范·河北榜样丨吕国涛：干事爱“琢磨” 为民“故事”多 共检索到 20条 有效request
2022-05-05 19:13:44.503 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 公安模范·河北榜样丨吕国涛：干事爱“琢磨” 为民“故事”多
2022-05-05 19:13:46.233 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：东西问·中外对话 | 明星变Tony、老外当翻译，他们… 共检索到 44条 有效request
2022-05-05 19:13:46.234 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 东西问·中外对话 | 明星变Tony、老外当翻译，他们…
2022-05-05 19:13:46.955 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：精准施策，健全社会救助体系 共检索到 76条 有效request
2022-05-05 19:13:46.956 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 精准施策，健全社会救助体系
2022-05-05 19:13:47.254 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：美国累计新冠肺炎确诊病例超8140万例 共检索到 46条 有效request
2022-05-05 19:13:47.257 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 美国累计新冠肺炎确诊病例超8140万例
2022-05-05 19:13:48.487 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：上海通报同济大学餐食案件：对咸猪肉供应商等立案调查 共检索到 28条 有效request
2022-05-05 19:13:48.488 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 上海通报同济大学餐食案件：对咸猪肉供应商等立案调查
2022-05-05 19:13:48.959 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
