2022-05-05 22:50:00.706 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：长春二十八日零时起逐步解除社会管控 共检索到 37条 有效request
2022-05-05 22:50:00.707 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 长春二十八日零时起逐步解除社会管控
2022-05-05 22:50:01.537 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：俄有望避免“债务违约” 美“信用违约”或将无解 共检索到 20条 有效request
2022-05-05 22:50:01.538 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 俄有望避免“债务违约” 美“信用违约”或将无解
2022-05-05 22:50:01.791 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：最新动态：俄媒报道有平民从亚速钢铁厂撤离 乌军方称俄军… 共检索到 73条 有效request
2022-05-05 22:50:01.792 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 最新动态：俄媒报道有平民从亚速钢铁厂撤离 乌军方称俄军…
2022-05-05 22:50:08.959 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 22:50:10.316 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：巴西央行上调基准利率1个百分点 至5年来最高水平 共检索到 91条 有效request
2022-05-05 22:50:10.317 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 巴西央行上调基准利率1个百分点 至5年来最高水平
2022-05-05 22:50:13.050 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：湖南长沙居民自建房倒塌事故已发现26名遇难者 共检索到 80条 有效request
2022-05-05 22:50:13.051 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 湖南长沙居民自建房倒塌事故已发现26名遇难者
2022-05-05 22:50:13.078 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：研究表明新西兰海平面正加速上升 共检索到 85条 有效request
2022-05-05 22:50:13.079 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 研究表明新西兰海平面正加速上升
2022-05-05 22:50:13.744 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：联合国安理会谴责卡拉奇大学孔子学院恐怖袭击事件 共检索到 85条 有效request
2022-05-05 22:50:13.745 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 联合国安理会谴责卡拉奇大学孔子学院恐怖袭击事件
2022-05-05 22:50:15.505 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：土耳其“爪锁”行动意欲何为 共检索到 10条 有效request
2022-05-05 22:50:15.506 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 土耳其“爪锁”行动意欲何为
2022-05-05 22:50:18.533 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：上海青浦：疫苗小分队进村服务老年人接种 共检索到 60条 有效request
2022-05-05 22:50:18.534 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 上海青浦：疫苗小分队进村服务老年人接种
2022-05-05 22:50:18.959 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 22:50:19.003 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：让战场瞬间摁下“慢放”键 共检索到 10条 有效request
2022-05-05 22:50:19.005 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 让战场瞬间摁下“慢放”键
2022-05-05 22:50:19.904 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：长沙居民自建房倒塌事故已发现26名遇难者 共检索到 68条 有效request
2022-05-05 22:50:19.905 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 长沙居民自建房倒塌事故已发现26名遇难者
2022-05-05 22:50:22.727 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：最新动态：俄方说百余平民从亚速钢铁厂撤离 乌方称将为收… 共检索到 72条 有效request
2022-05-05 22:50:22.728 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 最新动态：俄方说百余平民从亚速钢铁厂撤离 乌方称将为收…
2022-05-05 22:50:23.829 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：世卫组织：全球累计新冠确诊病例达511965711例 共检索到 60条 有效request
2022-05-05 22:50:23.830 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 世卫组织：全球累计新冠确诊病例达511965711例
2022-05-05 22:50:23.967 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：“故乡指导员”上线服务 共检索到 20条 有效request
2022-05-05 22:50:23.968 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 “故乡指导员”上线服务
2022-05-05 22:50:25.600 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：“教练妈妈”和她的二十六个特殊孩子（我们的新时代） 共检索到 20条 有效request
2022-05-05 22:50:25.601 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 “教练妈妈”和她的二十六个特殊孩子（我们的新时代）
2022-05-05 22:50:28.959 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 22:50:29.642 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：世卫组织：全球累计新冠确诊病例达509531232例 共检索到 60条 有效request
