2022-07-11 15:28:15.833 | INFO     | monitor.projectManager:check_project_in_device:381 - {'180.201.163.246': ['eWuChongTu', 'anBeiJinSan', 'default']}
2022-07-11 15:28:18.249 | INFO     | monitor.projectManager:check_project_in_device:381 - {'180.201.163.246': ['default']}
2022-07-11 15:28:19.808 | INFO     | monitor.projectManager:save_stopwords_to_redis:607 - redis 初始化停用词
2022-07-11 15:28:28.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:28:38.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:28:48.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:28:58.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:29:08.962 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:29:18.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:29:28.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:29:38.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:29:48.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:29:58.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:30:08.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:30:18.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:30:28.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:30:38.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:30:48.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:30:58.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:31:08.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:31:18.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:31:28.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:31:38.923 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:31:48.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:31:58.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:32:08.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:32:18.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:32:28.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:32:38.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:32:48.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:32:58.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:33:08.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:33:18.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:33:28.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:33:38.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:33:48.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:33:58.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:34:08.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:34:18.932 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:34:28.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:34:38.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:34:48.996 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:34:58.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:35:08.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:35:18.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:35:28.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:35:38.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:35:48.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:35:58.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:36:08.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:36:18.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:36:28.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:36:38.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:36:48.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:36:58.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:37:08.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:37:18.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:37:28.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:37:38.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:37:48.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:37:58.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:38:08.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:38:18.879 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
2022-07-11 15:38:28.889 | INFO     | monitor.projectManager:save_config:723 - 保存配置成功
