account,weibo_id,mid,uid,content,father,likes,retweet,comment,comment_list,retweet_list,like_list,title,date,now_date,platform
环球网,0a445a64-c0b6-3f06-a399-d3cc83d02818,186e3a05-a032-3678-a18d-9364065a93a6,4ef383f2-1f0b-32ad-adaf-af6865c7b7f4,本文转自【新华社】；今天，中国00后运动员杨倩一枪定胜负，奥运会首枚金牌再归中国代表团！截至24日晚，东京奥运会首日中国代表团共获得3金1铜，暂列奖牌榜第一。每一届奥运会，中国代表团首枚金牌的获得过程都激荡人心、令人荡气回肠！一起来看！,,,,,,,,北京冬奥会,2022/2021/07/24,2022-05-21 11:38:34,凤凰网
澎湃新闻,1c166368-a1e5-389b-a25c-600627f608ec,186e3a05-a032-3678-a18d-9364065a93a6,2d4ecea5-de6e-32f7-a158-6ae324467715,"<strong>新华社</strong>@新华社 8月25日消息，在日本千叶县幕张国际会展中心举行的东京残奥会轮椅击剑男子个人佩剑A级决赛中，中国选手李豪以15比12战胜乌克兰选手阿尔乔姆&middot;曼科，获得金牌，这是中国体育代表团在东京残奥会上获得的首枚金牌。<img src=""https://x0.ifengimg.com/res/2021/0829506F28D3F271930B347907DB02DB05650ECE_size30_w640_h427.jpeg"" /><img  class=""empty_bg"" data-lazyload=""https://x0.ifengimg.com/res/2021/AC2B8AB07AB16BD03FECEB1A15BAFE511B855C44_size28_w640_h427.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:66.71875%;""  />本期编辑 邹姗",,,,,,,,北京冬奥会,2022/2021/08/25,2022-05-21 11:38:43,凤凰网
新华社,223ef973-a0cc-34c4-b07d-3645f7133bbf,186e3a05-a032-3678-a18d-9364065a93a6,576e7063-e5d2-3b50-be64-b4fcd16e7f8c,"<img src=""https://x0.ifengimg.com/res/2021/CBA20EC0716843B24227C751767ABB986727FEB5_size1522_w2204_h1851.jpg"" />新华社图表，北京，2021年7月24日漫画：首金新华社发 徐骏 作",,,,,,,,北京冬奥会,2022/2021/07/24,2022-05-21 11:38:40,凤凰网
中国日报网,47352fb2-f576-3455-89f5-82642ba991f8,186e3a05-a032-3678-a18d-9364065a93a6,531ffcd8-2c16-381f-accf-ce1a16b658c8,"<img src=""https://x0.ifengimg.com/res/qr/2021/924C24F7BF87FC124A9660165D596B7D2BB03E75_size624_w750_h1624.jpeg"" />（编辑：王旭泉 潘一侨）",,,,,,,,北京冬奥会,2022/2021/07/24,2022-05-21 11:38:32,凤凰网
掌上兰州,58ab56c7-cbde-3b82-93cd-340c67da4e73,186e3a05-a032-3678-a18d-9364065a93a6,a3fe92f7-3984-3878-a6d0-442550c0321e,"<p class=""textAlignCenter""><img src=""https://x0.ifengimg.com/res/2021/CE0E48F2D9457F815ABCB2DD664FDBE6D9B19381_size70_w768_h511.jpeg"" />9月20日，甘肃队选手逯艳（左三）、甘肃队选手张娅儒（左一）和山东队选手王梦瑶（右一）及教练在颁奖仪式上。新华社记者 李任滋因连日阴雨推迟的第十四届全运会小轮车比赛，9月20日在西咸新区新建的小轮车竞赛场擂响战鼓。作为国内女子项目实力最强的甘肃女子小轮车队，发挥整体优势，8名晋级决赛的选手中，甘肃女将占据4席。最终由上届全运会金银牌得主逯艳、张娅儒继续包揽冠亚军。逯艳胸前所挂金牌，是甘肃代表团在本届全运会上获得的首枚金牌。<img  class=""empty_bg"" data-lazyload=""https://x0.ifengimg.com/res/2021/387E9531EAE913FD844AFCF2A42AE6EA9303FCDB_size105_w1080_h719.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:66.57407407407408%;""  /><img  class=""empty_bg"" data-lazyload=""https://x0.ifengimg.com/res/2021/160904960738082FC8ADAE159E91AC70E715FDC9_size79_w1080_h726.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:67.22222222222223%;""  /><p class=""textAlignCenter"">赛中的精彩场面要想登上领奖台，需要选手经过9轮磨砺。作为国内小轮车“女一号”的名将逯艳，在两轮个人计时排位赛、三轮1/4决赛和三轮1/2决赛中，她的成绩均排名第一。而队友、亚运会冠军张娅儒紧随其后，始终稳居第二。8轮过后，来自5个省份的8名队员大浪淘沙晋级总决赛，其中甘肃选手占据半壁江山。决赛中，逯艳依然强大，从出发门急速而下，飞包、压包、后轮滑，直到冲刺，她一气呵成，以36.635秒的成绩第一个冲线，张娅儒落后师姐0.1秒收获银牌。来自山东的王梦瑶在内道中超越甘肃选手刘云云，收获铜牌。刘云云位列第四，上届全运会铜牌得主、甘肃老将彭娜名列第七。<p class=""textAlignCenter""><img  class=""empty_bg"" data-lazyload=""https://x0.ifengimg.com/res/2021/83EA7B716810365BBA1986D0A4B5FC9616D8466C_size96_w1080_h810.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:75%;""  />逯艳（左）和张娅儒（右）把奖牌挂在了恩师张烨身上。甘肃小轮车队自2007年组建以来，在名帅张烨的精心打磨下，很快在国内站稳脚跟。特别是女队中核心人物逯艳，更是从2010年起，在国内比赛中几乎没让金牌旁落过。她也是十余年来代表中国参加洲际比赛最多的女子小轮车选手。此次，卫冕全运会金牌，是她运动生涯中获得的第230枚正式比赛金牌。<p class=""textAlignCenter""><img  class=""empty_bg"" data-lazyload=""https://x0.ifengimg.com/res/2021/B77A78AA1264317D28AECB4B1EBFB89B8B3F0287_size133_w1080_h810.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:75%;""  />四年前，她们三人包揽了第十三届全运会女子小轮车比赛的前三名。20日，三姐妹再次披挂上阵。<p class=""textAlignCenter""><img  class=""empty_bg"" data-lazyload=""https://x0.ifengimg.com/res/2021/EB22A9771673DD8018B3BE7C0887A6F56AEF379A_size82_w1080_h810.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:75%;""  />甘肃姑娘包揽金银牌后，赛区工作人员向甘肃代表团祝贺。文丨新甘肃&middot;甘肃日报记者李满福编辑丨梁秋燕",,,,,,,,北京冬奥会,2022/2021/09/22,2022-05-21 11:38:36,凤凰网
上观新闻,76016bc8-3f53-3a51-8483-e892b9b1c0af,186e3a05-a032-3678-a18d-9364065a93a6,de93d2c8-6750-3b65-8325-8fb023a471ee,"原标题：东方明珠脚下惊现上海首个户外真冰冰场，为何让冬奥会中国首金获得者杨扬湿了眼眶<img src=""http://e0.ifengimg.com/09/2019/0107/BCA425650D63B5D2FA449E8B0EC51ACEED7EB467_size127_w689_h390.jpeg"" />“十年前的冬天，同样也是夜晚，我站在美国纽约洛克菲勒中心那片人头攒动的户外滑冰场边上，看着恋人情侣、一家三口享受滑冰运动，当时心里就在想：什么时候我的祖国能有一块完美的户外冰场，能把冰上运动的快乐带给大家。”2022年北京冬奥会运动员委员会主席、中国冬奥会首金获得者杨扬，透露了自己一直有做一个露天冰场的“小梦想”。<img  class=""empty_bg"" data-lazyload=""http://e0.ifengimg.com/04/2019/0107/A8CB4342600537381617A9FF878C8D88DDF66F83_size58_w800_h533.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:66.625%;""  />图说：在国际大都市打造一片户外真冰冰场，杨扬实现了一个小梦想。十年之后，“冰飞扬”上海东方明珠冰上嘉年华，让杨扬梦想成真湿了眼眶。在上海城市地标建筑“脚下”，赫然出现一块600平方米的真冰冰场，这更是上海历史上第一块户外真冰冰场。“今天，在上海这个摩登城市，在东方明珠塔下这样著名而浪漫的地方，我十年前的梦想终于实现了。让我们在冰场上来场浪漫的约会吧，这是我发自内心的邀请。”<strong><span>上海这座城市拥有冰雪奇缘</span></strong>论自然的冰和雪，上海的资源并不如北方城市丰富，但作为“北冰南展战略”的枢纽城市，上海有着不可替代的冰雪奇缘。以东方明珠脚下这块真冰场为例，夜景堪称唯美：陆家嘴高楼灯光与东方明珠塔的灯光交相辉映，远眺还能看到黄浦江夜景、外滩灯光秀等，加上冰场自身的绚烂彩灯，让人有一种在色彩奇幻的冰雪世界翩翩起舞的感觉。在启动仪式上，来自上海飞扬俱乐部的小朋友们为观众呈现了花样滑冰、短道速滑和冰球的专业表演，博得大家阵阵喝彩，也展示了上海冰雪运动的未来发展潜力。<img  class=""empty_bg"" data-lazyload=""http://e0.ifengimg.com/05/2019/0107/5855CE41588C519511C2237A84648431CF96892D_size66_w690_h390.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:56.52173913043478%;""  />图说：第五届全国大众冰雪季今此前在上海东方体育中心正式启动。不仅是唯美，游客们上冰也非常方便。冰场特别考虑到滑冰零基础的游客的情况，设计了很多全家参与的亲子项目，并安排专业滑冰教练在场边进行指导，让更多人感受冰上运动乐趣。此外，每周末的晚上，主办方还会安排花滑、短道速滑、冰球以及冰舞等冬奥项目的专业展示，让更多人近距离地接触冬奥项目，更便利上冰体验，更愿意参与冰雪运动。从1月6日至2月24日，未来50天上海市民和游客都能去感受滑冰魅力。上海市冰雪运动协会主席严家栋表示，此次冰上嘉年华恰逢全国大众冰雪季，各式各样的群众性冰雪活动正在神州大地上不断掀起“冰雪热”“冬奥热”。“上海是冰雪运动‘南展西扩东进’战略的重点实施城市之一，让更多市民参与支持冰雪运动，有助于实现‘三亿人参与冰雪’的目标。”<img  class=""empty_bg"" data-lazyload=""http://e0.ifengimg.com/06/2019/0107/D0810E53DFC92605A6A002E2F81CA4E81627FB72_size415_w690_h390.png"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:56.52173913043478%;""  /><img  class=""empty_bg"" data-lazyload=""http://e0.ifengimg.com/07/2019/0107/DE4F0DCD03F77E0DE54A03B14C46E39683396CB0_size63_w800_h533.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:66.625%;""  />图说：上海冰雪运动需要兼顾普及和提高。目前，上海已有15块冰场，冰壶道7条，并常年开放，为冰雪项目开展提供基础，不少队伍已在这些冰场“安营扎寨”。截止目前，上海共计开展了短道速滑、花样滑冰、冰球、速度滑冰、冰壶、雪车、滑雪等七个冰雪运动项目；共有冰上、雪上、轮滑俱乐部15个，运营15块冰场（其中标准冰场4块以及6个室内滑雪场所；冰上项目普及到40多所学校，雪上项目课程已经累计进入30余所中小学，每年参加各类冰雪活动（训练的人数达30多万人次。<strong>五年创业开始培育专业人才</strong>2013年，首位冬奥会冠军杨扬来到上海，在三林创办了国内唯一一个市场化运作的专业滑冰场——飞扬冰上运动中心。当年把家安在上海，杨扬的愿望很简单，也带着她的情怀：“培养短道速滑的未来之星。”<img  class=""empty_bg"" data-lazyload=""http://e0.ifengimg.com/05/2019/0107/BAAABE749FDB4E703F99CE86E391E7254CD14607_size63_w800_h533.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:66.625%;""  />图说：越来越多孩子爱上冰雪运动。五年之前，鼓励体育产业大发展的国务院46号文尚未公布，中国北京也还没有获得2022年冬奥会的举办权，杨扬的举动多少有些超前。她来运营浦东三林体育中心的冰场、成立飞扬冰上运动中心培育青少年人才，都有点摸着石头过河的味道。“冰场开门的第一年，人们虽然对这块冰很好奇，来玩玩或者说避暑是有的，但说到报名学习专业却寥寥无几，当时外国孩子更多一点。我们内部运行也是个摸索期，那时候三个项目不到十位教练，有的教练没学员，还跑去前台帮忙。”杨扬回忆说，“冰场运营进入第二年，我一共和19位周边学校的校长或负责人介绍了冰上运动，大家给了我这个奥运冠军面子，都见面洽谈，但最终接受我们项目的只有一所学校：浦东临沂新村二小。”<img  class=""empty_bg"" data-lazyload=""http://e0.ifengimg.com/08/2019/0107/75E916EC48EA0BA5B1BD315B27A4E10A1D88BC2D_size48_w800_h559.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:69.875%;""  />图说：杨扬是中国冬奥会第一枚金牌获得者。五年之后，杨扬终于等到了青少年好苗子的出现：由飞扬冰上运动中心培养的8名年轻小将，成功入选国家集训队，向着2022年冬奥会的梦想前进：樊梓琪等8位上海短道速滑 “第一代”，已随短道速滑和速度滑冰跨界跨项国家集训队分别奔赴匈牙利、英国、德国参加集训。培育高水平竞技人才，其实建立在普及普的基础上。“三亿人上冰雪是中国申办冬奥会时对全世界的承诺，2022北京冬奥会不止是北京的光荣，更是全中国的使命。上海作为全国改革开放的排头兵和领头羊，理应在更多人参与方面做出贡献。同时城市发展本身也有这样的需求，让更多人参与体育运动，这个城市会越来越有活力、越来越生动。”杨扬这么表示。<strong>体育产业需要靠普及来推动</strong>虽然卸任了国际奥委会委员的职务，但杨扬如今依旧是2022年北京冬奥会运动员委员会主席，同时作为一名体育创业者，她也对眼下越发火热的体育产业，保持着清醒的头脑。杨扬认为，体育产业的繁荣发展离不开资金的投入，但绝对不能纯粹由投资驱动，而需要通过不断扩大普及来打造健康的体育产业消费。<img  class=""empty_bg"" data-lazyload=""http://e0.ifengimg.com/07/2019/0107/0E66CCC9F41617CA6B948943D22B01CD70F11FA7_size48_w800_h533.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:66.625%;""  />图说：体育产业的打造应该做好普及，培养孩子运动习惯的养成。“随着冬奥申办成功、体育产业政策的利好，过去的三年体育产业有大量的资本涌入，这是好事，但有时也会搅乱行业的发展节奏。”杨扬表示，全国的冰雪产业遭遇过类似的冲击，比如在鼓励体育产业发展的背景下，因大部分场馆是缺乏市场机制和专业化运营及管理，无法发挥其应有的作用，甚至很多场馆常年关闭，国家还要投入大量补贴，造成国有资产无法无法得到充分利用，人民群众健身和运动的需求得不到保障，高水平的青少年人才培养等更无从谈起。<img  class=""empty_bg"" data-lazyload=""http://e0.ifengimg.com/05/2019/0107/5BD2D3C49B61CD9601BC62CE33762178A5E2F734_size51_w800_h533.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:66.625%;""  />图说：杨扬此前在上海体育学院给学子们分享人生感悟。“2018年是互联网资本比较冷的一年，资本撤出让一些烧钱的体育创业企业停摆，体育爱好者的运动热情无处释放。”杨扬认为，当下中国的体育产业、体育事业还处于转型期，需要引导更多专业人去做专业事，“飞扬在过去五年的探索，用市场化的机制盘活场馆的资源，按照政府部门的要求完成公益时段开放，成为中国第一个市场化运行的专业冰场，还利用自身的专业性摸索出一条社会化人才培养的新模式。”杨扬认为，国内体育场馆和体育产业的改革发展，需要做大量普及工作，引导普及型消费。只有越来越多的人有了运动消费的习惯，体育产业才有更美好的未来。”",,,,,,,,北京冬奥会,2022/2019/01/07,2022-05-21 11:38:55,凤凰网
环球网,98d7944e-2adc-33a4-aee0-ed5ee3546cfc,186e3a05-a032-3678-a18d-9364065a93a6,4ef383f2-1f0b-32ad-adaf-af6865c7b7f4,"本文转自【新华网】；2002年2月16日，在盐湖城第19届冬季奥运会短道速滑女子500米决赛中，中国选手杨扬夺得金牌， 实现了中国在冬奥会上金牌“零的突破”。20年后，在家门口举办的2022北京冬奥会上，中国代表团已收获6金、4银、2铜，刷新最好成绩，并在多个项目取得了突破。骄傲转发！为中国欢呼，为健儿加油!<img alt="""" src=""https://x0.ifengimg.com/res/2022/1AF83BA9F547AA1ACED3190E1CC076E34776A9C1_size283_w1518_h1080.jpeg"" />",,,,,,,,北京冬奥会,2022/02/16,2022-05-21 11:38:48,凤凰网
中国新闻网,9b82078d-b043-3462-a7f5-33b5d0edc393,186e3a05-a032-3678-a18d-9364065a93a6,8971ed86-16d1-363d-877d-b04c958f01b7,"<img src=""http://x0.ifengimg.com/res/2019/F28493D441D878CFE2C7CB7165399B0AC15ECC20_size44_w550_h366.jpeg"" />8月26日，在天津残运会男子SB11级100米蛙泳决赛中，33岁的天津老将杨博尊以1分13秒16的成绩夺冠，获得全国第十届残运会暨第七届特奥会首金。<img  class=""empty_bg"" data-lazyload=""http://x0.ifengimg.com/res/2019/11FBD19EA8E93EC5AA84D1A7D90A8C36153A19B8_size45_w550_h366.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:66.54545454545455%;""  />天津残运会男子SB11级100米蛙泳决赛。<img  class=""empty_bg"" data-lazyload=""http://x0.ifengimg.com/res/2019/ECA22BA9757427F45384497DE333F6DC52CD85AA_size29_w550_h366.jpeg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:66.54545454545455%;""  />杨博尊（中）在颁奖仪式上举起吉祥物。（中新社记者 佟郁 摄）",,,,,,,,北京冬奥会,2022/2019/08/26,2022-05-21 11:38:39,凤凰网
凤凰网福建,b1c1d02b-2825-3320-889c-0b54445968be,186e3a05-a032-3678-a18d-9364065a93a6,0758aba1-540c-35d6-bc28-5cc0a6c37d3b,"北京冬奥会将在8日产生10枚金牌，代表中国出战的谷爱凌将在自由式滑雪女子大跳台比赛中，冲击自己的首枚冬奥会金牌；实力不俗的小将宁忠岩很有可能在速度滑冰男子1500米决赛中争得奖牌。人气选手、日本花滑明星羽生结弦与中国名将金博洋将亮相男子单人滑短节目。谷爱凌在北京冬奥会上将参加自由式滑雪大跳台、坡面障碍技巧、U型场地技巧3个小项的争夺。率先进行的大跳台比赛中，谷爱凌在资格赛中受到风的影响，有一跳出现失误，但最终有惊无险晋级8日上午的决赛。她表示，会在决赛中做出更高难度的动作，冲击个人首枚冬奥金牌。<p class=""textAlignCenter detailPic""><img src=""https://x0.ifengimg.com/ucms/2022_07/7A9EA7F7302F7729D9EEF893F7FC094176CE2685_size96_w1000_h1245.jpg"" alt=""2月7日，谷爱凌在比赛中。新华社记者李安摄"" /><p class=""picIntro"">2月7日，谷爱凌在比赛中。新华社记者李安摄另一名中国新星、22岁的宁忠岩也有望在速度滑冰男子1500米决赛中带来惊喜。虽然速度滑冰是欧美国家的传统强项，但近年崛起的宁忠岩实力不俗，在本赛季世界杯分站赛中夺得过男子1500米和1000米项目的金牌。奥运会的赛场从来不缺明星。拥有大量拥趸的日本花滑明星羽生结弦将在8日亮相男子单人滑短节目。放弃了团体赛的羽生结弦在北京冬奥会的目标，就是实现该项目的三连冠，并在比赛中成功挑战4A（阿克塞尔四周跳）。代表中国队出战了团体赛的金博洋也将在个人赛中争取好成绩。<p class=""textAlignCenter detailPic""><img  class=""empty_bg"" data-lazyload=""https://x0.ifengimg.com/ucms/2022_07/01AF55756789727C23ADB7121005DD15EB35CCBF_size59_w1000_h675.jpg"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAP"" style=""background-color:#f2f2f2;padding-top:67.5%;""  alt=""2月7日，羽生结弦在训练中。新华社记者曹灿摄"" /><p class=""picIntro"">2月7日，羽生结弦在训练中。新华社记者曹灿摄当天还将决出另外8枚金牌，分别是冰壶混合双人、冬季两项男子20公里个人、高山滑雪男子超级大回转、女子单人雪橇、单板滑雪女子平行大回转和男子平行大回转、越野滑雪女子个人短距离（自由技术）和男子个人短距离（自由技术）。来源：新华社",,,,,,,,北京冬奥会,2022/02/08,2022-05-21 11:38:53,凤凰网
黑龙江日报,bf5068ff-5319-36ba-9337-6949edd39547,186e3a05-a032-3678-a18d-9364065a93a6,405e9d30-6a0e-3811-8467-fcb5a81ef3f8,（记者谭湘竹）全国第十四届冬季运动会雪橇比赛北京时间13日在拉脱维亚共和国锡古尔达雪橇场地结束。在雪橇男子双人组比赛中，来自我省雪上训练中心的黄叶波和由跨省组队方式来自广东的彭俊越夺得冠军。这是我省在十四冬会雪上项目获得的首枚金牌。雪橇项目1883年起源于瑞士，2015年我国正式成立雪橇队。这个队伍中的所有运动员均由跨界选材产生，他们多数由陆地各个项目通过专业测试转至该项目。由田径转入雪橇项目的黑龙江小将黄叶波，目前是国家队男子双人橇头号选手。作为中国备战2022年北京冬奥会跨项跨界选材的成员，他在入选国家雪橇队之后，从零起步，进步非常快。虽然年龄不大，但在接受过几年训练和实战锻炼后，南征北战的他已经是雪橇国家队里的“老面孔”了。本届十四冬会的竞赛项目与北京2022年冬奥会设项一致。与以往相比，增设了北欧两项、雪车和雪橇项目，共7大项15分项141小项（含青年组）。,,,,,,,,北京冬奥会,2022/2019/10/14,2022-05-21 11:38:50,凤凰网
